노마드 Nomad,서울시,강남구,강남구 청담동 128-3,02-511-1283
카사 델 비노 Casa del Vino,서울시,강남구,강남구 청담동 141-13,02-542-8003
리아 라운지 LIA Lounge,서울시,강남구,강남구 청담동 3,02-6480-8955
메이트 재즈 Mate Jazz,서울시,강남구,강남구 청담동 19-36,070-8899-3030
믹솔로지 The Mixology,서울시,강남구,강남구 청담동 22-14,02-511-8214
복싱 타이거 Boxing Tiger,서울시,강남구,강남구 신사동 510-3,02-540-2399
바 데노체 Bar De Noche,서울시,강남구,강남구 신사동 510-11,02-545-4005
바 챕터 원 Bar Chapter One,서울시,강남구,강남구 신사동 525-19,02-543-0308
타스 바 Tass Bar,서울시,강남구,강남구 신사동 526-3,02-517-3029
몽리 라운지 Monlit Lounge,서울시,강남구,강남구 신사동 529-6,070-7740-3789
타라 Tara,서울시,강남구,강남구 신사동 539,02-544-9587
빌라레코드 Villarecords,서울시,강남구,강남구 신사동 540,02-703-6070
노퍼블릭 하우스 NoPublic Haus,서울시,강남구,강남구 신사동 545-1,02-540-3714
페타테 Petate,서울시,강남구,강남구 신사동 546-20,02-516-3342
프래그릿 가로수길 Fragrit,서울시,강남구,강남구 신사동 551-14,02-545-0380
하이볼가든 Highball Garden,서울시,강남구,강남구 신사동 552-3,070-8886-4636
안다즈 호텔,서울시,강남구,강남구 신사동 603,02-2193-1234
파복스 Pavox Bar 신사,서울시,강남구,강남구 신사동 563-18,010-9750-4259
알렉스 네스트 Alec's Nest,서울시,강남구,강남구 신사동 572-4,02-544-0150
게스후 엘피바 Guess Who LP Bar,서울시,강남구,강남구 신사동 586,02-547-9063
