제로타임 Zerotime,서울시,마포구,마포구 서교동 403-4,02-332-3109
로빈스 스퀘어 Robin's Square,서울시,마포구,마포구 서교동 407-1,02-6085-6421
더라이온스덴 The Lion's Den 서교,서울시,마포구,마포구 서교동 408-17,02-333-1136
디스틸 d.still,서울시,마포구,마포구 서교동 410-3,02-337-7560
아퀴노 Aquino,서울시,마포구,마포구 서교동 475-15,02-6080-5385
하이드아웃 Hide Out,서울시,마포구,마포구 당산동3가 133,010-8896-5357
바 스톤에이지 Bar Stoneage,서울시,마포구,마포구 창전동 5-4,02-3144-6689
헤이븐 Haven,서울시,마포구,마포구 신수동 81-63,070-4127-3355
"앤젤스 쉐어 Angels Share, 동교동",서울시,마포구,마포구 동교동 148-12,02-3143-0180
깃털,서울시,마포구,마포구 동교동 153-11,070-4090-1162
히피히피 셰이크 Hippy Hippy Shake,서울시,마포구,마포구 동교동 154-1,02-338-6809
L7 Hotel 홍대 플로팅 라운지 Floating Lounge,서울시,마포구,마포구 동교동 160-5,
SILL,서울시,마포구,마포구 동교동 188-33,
탐구하는 생활,서울시,마포구,마포구 성산동 242-16,070-4111-0157
바 1925 Bar 1925,서울시,마포구,마포구 성산동 242-16,070-8865-1925
연남마실,서울시,마포구,마포구 연남동 454-11,070-7527-6590
톨 테일 TALLTALE,서울시,마포구,마포구 연남동 227-24,02-2633-4744
무디 Moody,서울시,마포구,마포구 연남동 223-93,02-3142-1010
더 비 The B,서울시,마포구,마포구 연남동 229-56,02-336-0900
허니홀 Honey Hall,서울시,마포구,마포구 연남동 255-17,02-335-2046
