바 올드 패션드 Bar Old Fashioned,서울시,마포구,마포구 연남동 385-1,010-4143-2180,False
바 플랫폼 Bar Platform,서울시,마포구,마포구 연남동 387-13,070-4006-6915,False
백경 The Great White Whale 白鯨,서울시,마포구,마포구 연남동 390-78,nan,True
케이바 K Lee Bar,서울시,마포구,마포구 연남동 566-19,nan,False
소피 몰트 앤 와인 Sophie Malt & Wind,서울시,마포구,마포구 연남동 566-60,nan,False
책 바 Chaeg Bar,서울시,서대문구,서대문구 연희동 188-71,02-6449-5858,False
바코드 Bar Code,서울시,서대문구,서대문구 창천동 52-38,010-2434-5545,True
바 틸트 Bar TILT,서울시,서대문구,서대문구 창천동 52-151,02-322-8279,True
모어 댄 위스키 More than whisky 신촌,서울시,서대문구,서대문구 창천동 70-46,010-6379-6002,False
바 반칙,서울시,서대문구,서대문구 창천동 72-23,010-2687-2397,False
티지바 Tizzy bar,서울시,은평구,은평구 역촌동 1-45,02-352-8822,False
바 징크 Zinc,서울시,은평구,은평구 갈현동 454-20,02-356-1002,True
바 꿈꾸는다락방,서울시,은평구,은평구 응암동 427-131,02-355-6398,True
바 더 모먼트 Bar The Moment,서울시,은평구,은평구 응암동 592-65,010-7109-0294,True
뭄바 Moomba,서울시,중구,중구 태평로 1가 84,02-3783-0005,False
롯데호텔 피에르 바 Pierre Bar,서울시,중구,중구 소공동 1,02-317-7183,True
더 드로잉 룸 The Drawing Room,서울시,중구,중구 소공동 1,02-6959-4500,False
조선호텔 라운지 Lounge,서울시,중구,중구 소공동 87,02-771-0500,False
르 캬바레 시떼 Le Cabaret Cite,서울시,중구,중구 소공로 119,02-310-7400,False
갤러리 피그먼트 Gallery Pigment,서울시,중구,중구 남창동 196,02-6326-2001,True
