바 어글리 Bar Ugly,서울시,강남구,강남구 역삼동 816-4,02-501-4222
파복스 Pavox Bar 강남,서울시,강남구,강남구 역삼동 817-10,010-9750-4259
원가바 강남,서울시,강남구,강남구 역삼동 818-7,010-9590-7332
디깅 Diggin,서울시,강남구,강남구 역삼동 823-8,02-562-1014
타로맨스 Taromance,서울시,강남구,강남구 역삼동 835-33,010-4983-9410
몰트바 드램 Maltbar Dram,서울시,강남구,강남구 삼성동 5-1,02-3444-0808
몰트바 오프 Maltbar Off,서울시,강남구,강남구 삼성동 9-7,02-516-6201
루이스 Louis Bar 삼성동,서울시,강남구,강남구 삼성동 115-17,02-501-8887
L7 Hotel 강남 플로팅 라운지 Floating Lounge,서울시,강남구,강남구 삼성동 142-41,02-2011-1041
삼성리 그랜드살롱,서울시,강남구,강남구 삼성동 148-9,010-5725-0200
더 트리하우스 The Tree House,서울시,강남구,강남구 삼성동 148-13,02-556-2017
몰트바 배럴 Maltbar Barrel,서울시,강남구,강남구 삼성동 151-29,02-568-2589
타이거 래어 Tiger Lair Seoul,서울시,강남구,강남구 삼성동 152,010-8896-9710
식물원 282,서울시,강남구,강남구 삼성동 153-14,010 3121 6406
붓처스컷 The Butcher's Cut 삼성,서울시,강남구,강남구 삼성동 158-10,02-318-0973
인터컨티넨탈 서울 코엑스 스카이 라운지,서울시,강남구,강남구 삼성동 159,02-3452-2500
그랜드 인터컨티넨탈 로비 라운지 & 바,서울시,강남구,강남구 삼성동 159-8,02-555-5656
체 바 Che Bar,서울시,강남구,강남구 논현동 59-11,02-3445-5173
블라스트 BLAST,서울시,강남구,강남구 논현동 74,02-517-8833
임바이브 Imbibe,서울시,강남구,강남구 논현동 143-9,02-6951-2880
