바 아스타 Bar Astar,강원도,강릉시,강릉시 교동 1821-12,033-642-4309,True
바앤라운지 Bar & Lounge,강원도,춘천시,춘천시 효자3동 628-17,033-244-7284,True
믹스테이블 Mix Table,강원도,춘천시,춘천시 퇴계로 129-19,010-3592-3993,True
비 앤 아일레이 Bee & Islay,충청남도,천안시,천안시 서북구 두정동 923,041-563-5061,True
발렌타인 바 Ballatine's Bar,충청남도,홍성군,홍성군 홍성읍 월산리 839-2,010-2885-4078,False
멀린 Bar Merlin,울산시,남구,남구 달동 1276-2,052-267-2018,True
앙투라지 Entourage,울산시,남구,남구 달동 1258-6,010-6777-2169,False
소 퍼플 2 So Purple ver.2,광주시,북구,북구 용봉동 159-2,010-8605-7788,True
르뱅 Le Bain,광주시,동구,동구 장동 67-14,010-7252-7950,True
스틸룸 Still Room,경상북도,경주시,경주시 원효로 87,054-741-7001,True
마이빈 My Bin,경상북도,포항시,포항시 북구 두호동 1008-1,054-247-1238,True
사운드가든 Sound Garden,경상남도,진주시,진주시 가좌동 1445-7,010-6478-2248,True
까미노까사 KaMino a casa,경상남도,거제시,거제시 고현동 961-163,010-6275-8963,True
