플랜트 Plant,경기도,수원시,수원시 영통구 원천동 25-10,010-8985-8938,False
리포르마 Reforma,경기도,수원시,팔달구 인계동 1031-4,031-234-4254,True
nan,nan,nan,nan,nan,False
미누 바 Minu Bar,경기도,화성시,화성시 반송동 87-4,010-8181-1411,True
바스트로 37 Bar Stro 37,경기도,광주시,광주시 오포읍 신현리 341-3,010-5063-8143,True
nan,nan,nan,고양시 일산동구 장항동 853-1,nan,False
리즈 Leads,경기도,고양시,고양시 일산동구 장항동 853-1,010 5894 8133,False
nan,nan,nan,nan,nan,False
파파살롱 PAPA SALON,경기도,파주시,파주시 동패동 1701,031-947-8846,True
에픽키친 Epic Kitchen,부산시,금정구,금정구 장전동 312-3,010-3239-0034,True
nan,nan,nan,nan,nan,False
더롯지 The Lodge Bar,부산시,동래구,동래구 명륜동 549-15,051-555-5822,True
nan,nan,nan,nan,nan,False
돈 킬 마이 바이브 Don't Kill My Vibe,부산시,해운대구,해운대구 우동 532-22,070-7612-5019,False
nan,nan,nan,nan,nan,False
도머 Dormer,부산시,해운대구,해운대구 우동 618-45,051-747-7741,True
바 빈끌로 Bar Vinculo,부산시,해운대구,해운대구 중동 1394-302,010-9944-1259,False
nan,nan,nan,nan,nan,False
아티크 Attic,부산시,해운대구,해운대구 중동 1394-328,nan,False
파복스 해운대 Pavox Haeundae,부산시,해운대구,해운대구 해운대해변로 257,051-731-0435,True
