미스터 제이슨 Mr.Jason Bar,서울시,영등포구,영등포구 여의도동 44-23,010-8767-5243
글렌우드 GlenWood,서울시,영등포구,영등포구 여의도동 44-27,02-780-6243
더 캐스크 THE CASK,서울시,영등포구,영등포구 여의도동 44-37,02-780-3226
무정형 無定形,서울시,영등포구,영등포구 문래동4가 6-3,010-5096-4430
로프트호텔 브릭스 Loft Hotel Brix,서울시,영등포구,영등포구 선유동2로 72,02-2068-7765
헬리콘 바 Helicon Bar,서울시,영등포구,영등포구 양평동2가 33-28,02-2636-5747
벡 Beck,서울시,관악구,관악구 인헌동 1630-9,02-6015-1533
테일 오브 테일스 Tale of Tales,서울시,관악구,관악구 행운동 1675-20,070-8867-6957
칠 Chill,서울시,관악구,관악구 봉천동 972-15,02-871-3737
"오드비 Eau De Vie, 봉천동",서울시,관악구,관악구 봉천동 1612-2,010-2697-2306
제리 바 Jerry Bar,서울시,관악구,관악구 봉천동 1612-16,070-4212-1290
혼자노는양,서울시,관악구,관악구 봉천동 1625-25,02-871-2789
미라보 Mirabeau,서울시,관악구,관악구 봉천동 1663-8,010-7292-7031
소람 Soram,서울시,동작구,동작구 사당동 1019-17,02-522-6987
쉐라톤 서울 디큐브시티 호텔 라운지바,서울시,구로구,구로구 신도림동 360-51,02-2211-1740
Pub n Bar 공사중,서울시,구로구,구로구 구로3동 1124-58,02-855-8266
바 오피움 Bar Opium,서울시,양천구,양천구 목동 406-72,010-6654-5626
알콜트리 Alcohol Tree,서울시,양천구,양천구 목동 406-227,02-2642-3012
더 웨스트 햄릿 The West Hamlet,서울시,강서구,강서구 방화동 562-38,02-2665-6238
파파진구 PaPa Jingu,서울시,강서구,강서구 등촌동 647-35,02-3661-4960
