엘피 바 마틸다 LP Bar Matilda,서울시,송파구,송파구 잠실본동 193-2,02-423-3629,False
바 다빈치 Bar Davinci,서울시,송파구,송파구 방이동 36-7,02-420-6042,True
코코 라운지 Co Co Lounge,서울시,송파구,송파구 방이동 36-16,02-413-4100,True
루이스 Louis 방이점,서울시,송파구,송파구 방이동 49-20,02-420-5266,False
카페 루이 Café Louis 잠실점,서울시,송파구,송파구 송파동 8-13,02-420-7146,False
라이언하트 Lion Heart,서울시,송파구,송파구 송파동 31-2,02-6413-9080,True
몰트앤모어 Malt & More,서울시,송파구,송파구 가락동 18-15,010-2985-8876,True
아미쿠스 Amicus,서울시,송파구,송파구 가락동 174-9,010-3135-1226,False
탐듀 바 Tamdhu Bar,서울시,송파구,송파구 문정동 333-4,02-2135-3838,False
인썸니아 Insomnia,서울시,송파구,송파구 문정동 652-4,02-6956-0511,True
바람 바 Baram Bar,서울시,강동구,강동구 성내동 157-1,02-484-4417,True
불루문 Blue Moon,서울시,강동구,강동구 천호동 415-31,02-478-6102,False
칵테일 컴퍼니 Cocktail Company,서울시,영등포구,영등포구 영등포동 3가 4-7,010-9464-1369,False
블랙바, 여의도 Black Bar Yeodo,서울시,영등포구,영등포구 여의도동 17-5,02-6671-7429,True
콘래드호텔 37 Grill & Bar,서울시,영등포구,영등포구 여의도동 23-1,02-6137-7000,True
테누토 TENUTO,서울시,영등포구,영등포구 여의도동 26,02-785-0066,False
마르셀 Marcel,서울시,영등포구,영등포구 여의도동 28-3,070-4179-7509,True
몰트바 백경,서울시,영등포구,영등포구 여의도동 43-4,02-786-3226,False
씨에스 바 CS Bar,서울시,영등포구,영등포구 여의도동 44-12,010-8480-6414,False
요츠 바 Yots Bar,서울시,영등포구,영등포구 여의도동 44-14,02-863-5455,True
