Bar 서랍,서울시,강남구,강남구 신사동 613-9,010-3333-3484,False
바 머스크 Bar Musk,서울시,강남구,강남구 신사동 630-21,02-543-6321,True
바 마크스 Mark's,서울시,강남구,강남구 신사동 634-1,02-6295-3129,False
플랜비 Plan B Bar,서울시,강남구,강남구 신사동 663-15,010-4158-4695,True
폴 스타 Pole Star,서울시,강남구,강남구 신사동 648-14,02-514-3450,True
미스터 사이몬바 Mr.Saimon Bar,서울시,강남구,강남구 신사동 655-7,02-3445-6108,True
제이 앤 제이슨 J and Jason,서울시,강남구,강남구 신사동 656-25,010-6631-7053,False
클라시코 Classico,서울시,강남구,강남구 신사동 657-13,010-3704-7896,True
바 샴 Sahm Bar,서울시,강남구,강남구 신사동 660-17,070-4125-6413,False
노터블 NOTABLE,서울시,강남구,강남구 신사동 660-17,070-4125-6413,False
바 정크 Bar Junk,서울시,강남구,강남구 신사동 665-12,02-548-2083,True
쓰리 인 어 베드 Three in a bed,서울시,강남구,강남구 역삼동 601-29,02-557-9255,False
세이버리 Bar Savory,서울시,강남구,강남구 역삼동 637-29,070-4115-8668,True
우리술 바 작 Zac,서울시,강남구,강남구 역삼동 640-11,02-501-2342,False
머큐어 호텔 루프탑 클라우드 Rooftop KLOUD,서울시,강남구,강남구 역삼동 642,02-2050-6035,True
마릴린 Marilyn,서울시,강남구,강남구 역삼동 667-16,02-6207-0460,True
커피바케이 Coffee Bar K 역삼,서울시,강남구,강남구 역삼동 675-3,02-516-1970,True
디볼루프 D.VOLUP,서울시,강남구,강남구 역삼동 678-15,02-558-1979,False
델라마노 BAR DELA MANO,서울시,강남구,강남구 역삼동 690-10,070-7778-6476,True
몰트코크 Malt Coke,서울시,강남구,강남구 역삼동 700-23,010-4334-9360,False
