사우스사이드팔러 Southside Parlor,서울시,용산구,용산구 이태원동 527,02-749-9522
바 딥 Bar Deep,서울시,용산구,용산구 이태원동 671,
바버스 조인트 Barbers Joint,서울시,용산구,용산구 보광동 265-376,010-3243-9844
돈 패닉 Don't Panic,서울시,용산구,용산구 보광동 265-985,
모어 댄 위스키 More than whisky 해방촌,서울시,용산구,용산구 용산동2가 5-758,010-9253-1163
라 마밋 La Marmite,서울시,용산구,용산구 용산동2가 5-767,
프래그릿 Fraglit 해방촌,서울시,용산구,용산구 용산동2가 5-1608,010-2593-0380
올드 나이브스 Olde Knives 해방촌,서울시,용산구,용산구 용산동2가 27-5,010-7534-1982
트웰브 Twelve 해방촌,서울시,용산구,용산구 용산동2가 45-1,02-796-9693
헬카페 스피리터스 Hellcafe Spiritus,서울시,용산구,용산구 이촌동 300-23,
백룸 Back Room,서울시,용산구,용산구 원효로 1가 43-13,010-7510-0400
THE 26,서울시,용산구,용산구 한강로3가 40-969,02-2223-7323
바 오리올 Bar Oriole,서울시,용산구,용산구 후암동 406-57,010-8436-7995
클래식바 빈 Bar Bin,서울시,마포구,마포구 염리동 174-14,02-706-1781
발린치 Valinch,서울시,마포구,마포구 공덕동 256-30,02-702-5929
팩토리 엠 Factory M,서울시,마포구,마포구 공덕동 476,02-337-7117
세가프레도 Segafredo Cafe & Bar,서울시,마포구,마포구 도화동 25-13,02-2197-5052
마띠아 바자르,서울시,마포구,마포구 도화동 184-10,
니트 바 Neat Bar,서울시,마포구,마포구 도화동 334-3,02-706-4124
포체어스 Four Chairs,서울시,마포구,마포구 도화동 538,070-8899-3304
