,,,,
나이트 스틸러 Night Stealer 판교,경기도,성남시,성남시 분당구 백현동 581-1,031-709-9693
테일스 Tales,경기도,성남시,성남시 분당구 정자동 15-3,
,,,,
모멘토 The Momento,경기도,성남시,성남시 분당구 정자동 165-1,031-603-4481
글로리 Glory,경기도,성남시,성남시 분당구 정자동 166-2,0507-1308-2181
OUNCE 28.35,경기도,성남시,성남시 분당구 정자동 174-1,031-713-2835
스튜디오 지구,경기도,성남시,성남시 분당구 삼평동 670,031-628-1000
디 엣지 The Edge Pub & Dining,경기도,성남시,성남시 분당구 야탑동 361-13,031-703-2692
소마 SOMA,경기도,성남시,성남시 분당구 삼평동 670,010-8330-0999
,,,,
타겟 바 Target Bar,경기도,성남시,성남시 분당구 구미동 30,031-712-4916
땡스 위스키 Thanks Whisky,경기도,성남시,성남시 분당구 금곡동 147,031-716-3551
씩스 어클락 6 o'clock,경기도,부천시,부천시 소사구 괴안동 113-1,010-9088-8772
뚜르 드 몽 Toud de monde,경기도,부천시,부천시 원미구 중동 1111,
시크릿 바 Secret Bar,경기도,안양시,안양시 동안구 관양동 1604-4,031-388-7454
케빈스 캐빈 Kevin's Cabin,경기도,안양시,안양시 동안구 비산동 1112-1,031-381-2806
바 체이서 Bar Chaser,경기도,안양시,동안구 호계동 1047-6,031-381-1223
,,,,
바 하바나 Bar Habana,경기도,시흥시,시흥시 대야동 534-3,031-312-4448
