르 챔버 Le Chamber,서울시,강남구,강남구 청담동 83-4,02-6337-2014
바 티 센트 Bar Tea Scent,서울시,강남구,강남구 청담동 83-12,02-6052-6579
라이온스 덴 Lion's Den 청담,서울시,강남구,강남구 청담동 84-11,02-512-1136
바 루팡 Bar Lupin,서울시,강남구,강남구 청담동 84-18,02-511-8418
앨리스 청담 Alice Cheongdam,서울시,강남구,강남구 청담동 84-20,02-511-8420
카이포라 Caipora,서울시,강남구,강남구 청담동 84-24,02-544-4389
미스터 칠드런 Mr.Childern,서울시,강남구,강남구 청담동 84-25,010 7793 8425
스틸 STILL,서울시,강남구,강남구 청담동 85-7,02-547-2016
키퍼스 Keeper's,서울시,강남구,강남구 청담동 87-9,02-549-9992
비28 B28,서울시,강남구,강남구 청담동 88-2,010-3402-2828
레솔베르 Resolver,서울시,강남구,강남구 청담동 88-29,02-3446-5546
하이 엔드 High End,서울시,강남구,강남구 청담동 89-6,02-6956-864
바 하우스 House,서울시,강남구,강남구 청담동 89-6,010 3241 7456
벨 뷰 Belle Vue,서울시,강남구,강남구 청담동 91-3,010-7394-8388
화이트 바 White Bar,서울시,강남구,강남구 청담동 93-14,02-6207-7429
볼트+82 Vault +82,서울시,강남구,강남구 청담동 95-15,02-544-9234
트웰브 Twelve 청담,서울시,강남구,강남구 청담동 95-16,02-548-1201
셜록 Sherlock,서울시,강남구,강남구 청담동 117-38,070-8885-0221
더 부즈 청담 The Booze,서울시,강남구,강남구 청담동 121-30,02-547-8002
에스엠티 서울 SMT Seoul,서울시,강남구,강남구 청담동 125-24,02-6240-9300
