신라호텔 라이브러리 바 Library Bar,서울시,중구,중구 장충동2가 202,02-2230-3388
L7 Hotel 명동 플로팅 라운지 Floating Lounge,서울시,중구,중구 충무로2가 62-12,02-6310-1000
마크 다모르 Marque d'Amour,서울시,중구,중구 회현동1가 194-19,02-317-4004
보버 라운지 Bover Lounge,서울시,중구,중구 회현동2가 88,02-6020-5755
라트롬 Ratrom,서울시,중구,중구 북창동 93-33,
바 숙희 熟喜 Bar SookHee,서울시,중구,중구 수표동 56-22,010-2978-7950
WXYZ Bar,서울시,중구,중구 명동2가 104,02-2084-1021
르 템플 Le Temple,서울시,중구,중구 을지로3가 295-3,02-2263-7575
고메 바 GOURMET BAR,서울시,중구,중구 을지로6가 58-5,02-3425-8102
핀스키 Finsky,서울시,중구,중구 을지로 7가 58-1,02-2275-1331
바501 BAR501,서울시,중구,중구 서소문동 53-1,02-755-2846
마이클 바이 해비치 Michael's by Haevichi,서울시,종로구,종로구 공평동 5-1,02-722-4300
포시즌 호텔 챨스 에이치 Charles H.,서울시,종로구,종로구 당주동 29,02-6388-5000
어비스 Abyss,서울시,종로구,종로구 내자동 95-1,070-8878-1378
텐더바 Tender Bar,서울시,종로구,종로구 내자동 98,02-733-8343
슬로우핸드 Slow Hand,서울시,종로구,종로구 내자동 110,02-737-9871
코블러 Cobbler,서울시,종로구,종로구 내자동 157,02-733-6421
참 바 Cham Bar,서울시,종로구,종로구 통인동 135-5,02-6402-4750
더 글렌코 The Glenco,서울시,종로구,종로구 동숭동 201-18,02-6082-8858
JW 메리어트 동대문 그리핀 Griffin Bar,서울시,종로구,종로구 종로6가 289-3,02-2276-3000
